model input: artifacts/round-8/model.xml
using https://api.teaql.io/latest/evaluate
# KSML Evaluation Report

## 📊 Summary
- **Errors**: 0
- **Warnings**: 388
- **Suggestions**: 6
- **Solids**: 371

## ⚠️ Warnings

| Rule ID | Target | Warning Message |
|---------|--------|-----------------|
| `KSML-BUSINESS-002` | `platform.name` | Field 'name' in business object 'platform' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `platform.status` | Field 'status' in business object 'platform' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `platform.version` | Field 'version' in business object 'platform' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `merchant.name` | Field 'name' in business object 'merchant' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `merchant.tax_id` | Field 'tax_id' in business object 'merchant' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `employee.name` | Field 'name' in business object 'employee' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `employee.role` | Field 'role' in business object 'employee' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `platform_setting.key` | Field 'key' in business object 'platform_setting' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `platform_setting.value` | Field 'value' in business object 'platform_setting' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `tenant_configuration.region` | Field 'region' in business object 'tenant_configuration' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `tenant_configuration.tier` | Field 'tier' in business object 'tenant_configuration' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `organization_unit.code` | Field 'code' in business object 'organization_unit' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `organization_unit.name` | Field 'name' in business object 'organization_unit' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `department_hierarchy.level` | Field 'level' in business object 'department_hierarchy' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `department_hierarchy.parent` | Field 'parent' in business object 'department_hierarchy' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `branch_office.address` | Field 'address' in business object 'branch_office' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `branch_office.capacity` | Field 'capacity' in business object 'branch_office' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `move_order.order_id` | Field 'order_id' in business object 'move_order' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `move_order.status` | Field 'status' in business object 'move_order' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `move_quote.quote_id` | Field 'quote_id' in business object 'move_quote' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `move_quote.total` | Field 'total' in business object 'move_quote' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `route.distance_km` | Field 'distance_km' in business object 'route' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `route.route_id` | Field 'route_id' in business object 'route' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `route_stop.sequence` | Field 'sequence' in business object 'route_stop' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `route_stop.stop_id` | Field 'stop_id' in business object 'route_stop' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `time_slot.end` | Field 'end' in business object 'time_slot' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `time_slot.start` | Field 'start' in business object 'time_slot' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `fulfillment_event.event_type` | Field 'event_type' in business object 'fulfillment_event' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `fulfillment_event.timestamp` | Field 'timestamp' in business object 'fulfillment_event' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `address.city` | Field 'city' in business object 'address' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `address.street` | Field 'street' in business object 'address' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `crew.crew_id` | Field 'crew_id' in business object 'crew' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `crew.size` | Field 'size' in business object 'crew' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `dispatch_assignment.assignment_id` | Field 'assignment_id' in business object 'dispatch_assignment' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `dispatch_assignment.priority` | Field 'priority' in business object 'dispatch_assignment' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `damage_report.report_id` | Field 'report_id' in business object 'damage_report' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `damage_report.severity` | Field 'severity' in business object 'damage_report' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `proof_of_delivery.pod_id` | Field 'pod_id' in business object 'proof_of_delivery' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `proof_of_delivery.signed_by` | Field 'signed_by' in business object 'proof_of_delivery' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `move_item.item_name` | Field 'item_name' in business object 'move_item' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `move_item.weight_kg` | Field 'weight_kg' in business object 'move_item' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `inventory_list.list_id` | Field 'list_id' in business object 'inventory_list' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `inventory_list.total_items` | Field 'total_items' in business object 'inventory_list' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `packing_material.material_type` | Field 'material_type' in business object 'packing_material' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `packing_material.quantity` | Field 'quantity' in business object 'packing_material' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `loading_zone.capacity` | Field 'capacity' in business object 'loading_zone' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `loading_zone.zone_id` | Field 'zone_id' in business object 'loading_zone' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `unloading_zone.capacity` | Field 'capacity' in business object 'unloading_zone' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `unloading_zone.zone_id` | Field 'zone_id' in business object 'unloading_zone' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `transit_log.log_id` | Field 'log_id' in business object 'transit_log' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `transit_log.mileage` | Field 'mileage' in business object 'transit_log' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `delay_record.delay_id` | Field 'delay_id' in business object 'delay_record' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `delay_record.duration_min` | Field 'duration_min' in business object 'delay_record' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `route_optimization_rule.enabled` | Field 'enabled' in business object 'route_optimization_rule' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `route_optimization_rule.rule_name` | Field 'rule_name' in business object 'route_optimization_rule' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `vehicle_assignment.assignment_id` | Field 'assignment_id' in business object 'vehicle_assignment' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `vehicle_assignment.vehicle_type` | Field 'vehicle_type' in business object 'vehicle_assignment' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `cargo_weight_record.record_id` | Field 'record_id' in business object 'cargo_weight_record' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `cargo_weight_record.total_weight` | Field 'total_weight' in business object 'cargo_weight_record' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `special_handling_instruction.applies_to` | Field 'applies_to' in business object 'special_handling_instruction' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `special_handling_instruction.instruction` | Field 'instruction' in business object 'special_handling_instruction' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `move_status.description` | Field 'description' in business object 'move_status' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `move_status.status_code` | Field 'status_code' in business object 'move_status' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `delivery_window.start` | Field 'start' in business object 'delivery_window' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `delivery_window.window_id` | Field 'window_id' in business object 'delivery_window' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `department.code` | Field 'code' in business object 'department' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `department.name` | Field 'name' in business object 'department' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `job_assignment.level` | Field 'level' in business object 'job_assignment' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `job_assignment.title` | Field 'title' in business object 'job_assignment' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `work_shift.shift_id` | Field 'shift_id' in business object 'work_shift' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `work_shift.start` | Field 'start' in business object 'work_shift' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `worked_hours.date` | Field 'date' in business object 'worked_hours' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `worked_hours.hours` | Field 'hours' in business object 'worked_hours' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `payroll_period.period_id` | Field 'period_id' in business object 'payroll_period' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `payroll_period.start` | Field 'start' in business object 'payroll_period' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `payroll_calculation.calc_id` | Field 'calc_id' in business object 'payroll_calculation' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `payroll_calculation.gross_pay` | Field 'gross_pay' in business object 'payroll_calculation' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `payslip.net_pay` | Field 'net_pay' in business object 'payslip' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `payslip.payslip_id` | Field 'payslip_id' in business object 'payslip' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `bonus.amount` | Field 'amount' in business object 'bonus' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `bonus.bonus_id` | Field 'bonus_id' in business object 'bonus' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `deduction.amount` | Field 'amount' in business object 'deduction' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `deduction.deduction_id` | Field 'deduction_id' in business object 'deduction' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `leave_request.record_type` | Field 'record_type' in business object 'leave_request' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `leave_request.request_id` | Field 'request_id' in business object 'leave_request' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `employee_certification.cert_id` | Field 'cert_id' in business object 'employee_certification' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `employee_certification.name` | Field 'name' in business object 'employee_certification' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `training_module.duration_hrs` | Field 'duration_hrs' in business object 'training_module' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `training_module.module_id` | Field 'module_id' in business object 'training_module' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `availability_schedule.schedule_id` | Field 'schedule_id' in business object 'availability_schedule' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `availability_schedule.status` | Field 'status' in business object 'availability_schedule' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `skill_profile.proficiency` | Field 'proficiency' in business object 'skill_profile' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `skill_profile.skill` | Field 'skill' in business object 'skill_profile' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `performance_review.review_id` | Field 'review_id' in business object 'performance_review' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `performance_review.score` | Field 'score' in business object 'performance_review' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `overtime_record.hours` | Field 'hours' in business object 'overtime_record' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `overtime_record.record_id` | Field 'record_id' in business object 'overtime_record' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `tax_withholding.rate` | Field 'rate' in business object 'tax_withholding' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `tax_withholding.withholding_id` | Field 'withholding_id' in business object 'tax_withholding' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `benefit_enrollment.enrollment_id` | Field 'enrollment_id' in business object 'benefit_enrollment' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `benefit_enrollment.plan` | Field 'plan' in business object 'benefit_enrollment' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `shift_swap_request.status` | Field 'status' in business object 'shift_swap_request' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `shift_swap_request.swap_id` | Field 'swap_id' in business object 'shift_swap_request' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `attendance_record.record_id` | Field 'record_id' in business object 'attendance_record' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `attendance_record.status` | Field 'status' in business object 'attendance_record' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `payroll_adjustment.adjustment_id` | Field 'adjustment_id' in business object 'payroll_adjustment' should preferably use a rich concrete typical value instead of generic string(). |
| `KSML-BUSINESS-002` | `payroll_adjustment.amount` | Field 'amount' in business object 'payroll_adjustment' should preferably use a rich concrete typical value instead of generic string(). |
